treat_id,AUC,Cell,Drug,Timepoint,Method,measured_by,drug_id,cell_type1,cell_type2
K562_FLAVOPIRIDOL_72h_Resazurin_KI,1.266755554689774,K562,FLAVOPIRIDOL,72h,Resazurin,KI,FLAVOPIRIDOL_72h_Resazurin_KI,suspension,Myeloid
H1299_AZD7762_144h_Resazurin_BM,1.033723899900586,H1299,AZD7762,144h,Resazurin,BM,AZD7762_144h_Resazurin_BM,solid,Lung cancer
HL-60_SUNITINIB_72h_Trypan Blue_KI,1.051913301885599,HL-60,SUNITINIB,72h,Trypan Blue,KI,SUNITINIB_72h_Trypan Blue_KI,suspension,Myeloid
SK-OV-3_PACLITAXEL_72h_XTT_LT,0.5917833730929892,SK-OV-3,PACLITAXEL,72h,XTT,LT,PACLITAXEL_72h_XTT_LT,solid,other
786-0_PALBOCICLIB_72h_XTT_LT,0.9910730811226823,786-0,PALBOCICLIB,72h,XTT,LT,PALBOCICLIB_72h_XTT_LT,solid,Renal cancer
MV4;11_VENETOCLAX_72h_XTT_KI,0.9163545900550855,MV4;11,VENETOCLAX,72h,XTT,KI,VENETOCLAX_72h_XTT_KI,suspension,Myeloid
CEM-SS_RAPAMYCIN_72h_XTT_KI,0.9623389574727402,CEM-SS,RAPAMYCIN,72h,XTT,KI,RAPAMYCIN_72h_XTT_KI,suspension,Lymphoblastic
HL-60_17-DMAG_72h_Resazurin_KI,1.287663529419333,HL-60,17-DMAG,72h,Resazurin,KI,17-DMAG_72h_Resazurin_KI,suspension,Myeloid
MV4;11_ALISERTIB_72h_Trypan Blue_KI,0.0516096909638712,MV4;11,ALISERTIB,72h,Trypan Blue,KI,ALISERTIB_72h_Trypan Blue_KI,suspension,Myeloid
SK-N-SH_VOLASERTIB_144h_Resazurin_SM,1.288659875180126,SK-N-SH,VOLASERTIB,144h,Resazurin,SM,VOLASERTIB_144h_Resazurin_SM,solid,Neuroblastoma
