,Cell,Timepoint,Drug,Conc,Rep,Count,Method,measured_by,Treatment_id,Condition
0,786-0,72h,5-AZACITIDINE,0.0,1,99.52403617325086,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
1,786-0,72h,5-AZACITIDINE,0.25,1,119.2289386006664,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
2,786-0,72h,5-AZACITIDINE,0.5,1,136.8396001903856,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
3,786-0,72h,5-AZACITIDINE,1.0,1,105.6163731556402,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
4,786-0,72h,5-AZACITIDINE,2.5,1,89.62398857686817,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
5,786-0,72h,5-AZACITIDINE,5.0,1,84.38838648262733,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
6,786-0,72h,5-AZACITIDINE,10.0,1,59.8286530223703,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
7,786-0,72h,5-AZACITIDINE,20.0,1,53.11756306520707,XTT,LT,786-0_5-AZACITIDINE_72h_XTT_LT,786-0_72h_XTT_LT
8,786-0,72h,FLUOROURACIL,0.0,1,105.3804649286471,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
9,786-0,72h,FLUOROURACIL,1.0,1,93.03615551409408,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
10,786-0,72h,FLUOROURACIL,2.5,1,93.0058998537643,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
11,786-0,72h,FLUOROURACIL,5.0,1,78.163985678987,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
12,786-0,72h,FLUOROURACIL,10.0,1,67.53063385608391,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
13,786-0,72h,FLUOROURACIL,15.0,1,49.55877162019061,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
14,786-0,72h,FLUOROURACIL,20.0,1,30.33129948061116,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
15,786-0,72h,FLUOROURACIL,25.0,1,24.06837779234532,XTT,LT,786-0_FLUOROURACIL_72h_XTT_LT,786-0_72h_XTT_LT
16,786-0,72h,ADAVOSERTIB,0.0,1,93.20123613888384,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
17,786-0,72h,ADAVOSERTIB,0.05,1,104.7082348663879,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
18,786-0,72h,ADAVOSERTIB,0.1,1,82.67587711325213,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
19,786-0,72h,ADAVOSERTIB,0.25,1,82.94855480821668,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
20,786-0,72h,ADAVOSERTIB,0.5,1,69.80548991092527,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
21,786-0,72h,ADAVOSERTIB,1.0,1,39.16742410470823,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
22,786-0,72h,ADAVOSERTIB,2.5,1,38.60570805308126,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
23,786-0,72h,ADAVOSERTIB,5.0,1,30.56716960552627,XTT,LT,786-0_ADAVOSERTIB_72h_XTT_LT,786-0_72h_XTT_LT
24,786-0,72h,ALISERTIB,0.0,1,102.4284943335132,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
25,786-0,72h,ALISERTIB,10.0,1,97.67943874797623,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
26,786-0,72h,ALISERTIB,25.0,1,92.33675121424716,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
27,786-0,72h,ALISERTIB,50.0,1,79.92444684295738,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
28,786-0,72h,ALISERTIB,100.0,1,74.41985968699406,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
29,786-0,72h,ALISERTIB,250.0,1,73.77226119805721,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
30,786-0,72h,ALISERTIB,500.0,1,76.36265515380465,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
31,786-0,72h,ALISERTIB,1000.0,1,73.61036157582299,XTT,LT,786-0_ALISERTIB_72h_XTT_LT,786-0_72h_XTT_LT
32,786-0,72h,AXITINIB,0.0,1,102.6154474867184,XTT,LT,786-0_AXITINIB_72h_XTT_LT,786-0_72h_XTT_LT
33,786-0,72h,AXITINIB,0.25,1,130.2002451982019,XTT,LT,786-0_AXITINIB_72h_XTT_LT,786-0_72h_XTT_LT
34,786-0,72h,AXITINIB,0.5,1,133.9599509603596,XTT,LT,786-0_AXITINIB_72h_XTT_LT,786-0_72h_XTT_LT
35,786-0,72h,AXITINIB,1.0,1,129.5055169595423,XTT,LT,786-0_AXITINIB_72h_XTT_LT,786-0_72h_XTT_LT
